id_policy,noclaim
PL000000,TRUE
PL000001,TRUE
PL000003,TRUE
PL000005,FALSE
PL000007,TRUE
PL000008,TRUE
PL000009,TRUE
PL000011,TRUE
PL000013,TRUE
PL000014,TRUE
PL000015,TRUE
PL000016,TRUE
PL000019,FALSE
PL000020,FALSE
PL000021,TRUE
PL000023,TRUE
PL000024,TRUE
PL000025,TRUE
PL000027,TRUE
PL000028,FALSE
PL000032,FALSE
PL000033,TRUE
PL000034,FALSE
PL000035,TRUE
PL000036,TRUE
PL000037,TRUE
PL000038,TRUE
PL000041,TRUE
PL000042,FALSE
PL000043,FALSE
PL000044,TRUE
PL000045,TRUE
PL000046,TRUE
PL000048,TRUE
PL000049,TRUE
PL000050,TRUE
PL000051,TRUE
PL000052,TRUE
PL000055,FALSE
PL000057,FALSE
PL000060,FALSE
PL000063,TRUE
PL000064,FALSE
PL000065,TRUE
PL000066,TRUE
PL000067,FALSE
PL000068,TRUE
PL000069,FALSE
PL000070,FALSE
PL000077,TRUE
PL000078,TRUE
PL000080,TRUE
PL000081,TRUE
PL000083,TRUE
PL000084,FALSE
PL000085,TRUE
PL000086,FALSE
PL000087,TRUE
PL000088,FALSE
PL000089,TRUE
PL000090,FALSE
PL000092,TRUE
PL000094,TRUE
PL000095,FALSE
PL000097,TRUE
PL000098,FALSE
PL000100,TRUE
PL000104,TRUE
PL000105,FALSE
PL000106,TRUE
PL000112,TRUE
PL000113,TRUE
PL000114,FALSE
PL000115,TRUE
PL000116,FALSE
PL000117,FALSE
PL000118,FALSE
PL000120,FALSE
PL000121,TRUE
PL000123,FALSE
PL000125,TRUE
PL000126,TRUE
PL000129,FALSE
PL000131,TRUE
PL000134,TRUE
PL000135,TRUE
PL000136,TRUE
PL000137,TRUE
PL000138,TRUE
PL000140,FALSE
PL000141,TRUE
PL000142,TRUE
PL000143,TRUE
PL000144,FALSE
PL000145,FALSE
PL000148,TRUE
PL000149,TRUE
PL000153,FALSE
PL000154,FALSE
PL000155,TRUE
PL000156,TRUE
PL000160,FALSE
PL000161,TRUE
PL000162,TRUE
PL000164,TRUE
PL000166,FALSE
PL000167,TRUE
PL000169,TRUE
PL000170,TRUE
PL000171,TRUE
PL000172,TRUE
PL000174,FALSE
PL000175,FALSE
PL000176,TRUE
PL000178,FALSE
PL000181,TRUE
PL000183,TRUE
PL000184,TRUE
PL000186,TRUE
PL000187,TRUE
PL000190,TRUE
PL000193,FALSE
PL000194,FALSE
PL000196,TRUE
PL000197,FALSE
PL000198,TRUE
PL000200,TRUE
PL000202,TRUE
PL000203,FALSE
PL000204,TRUE
PL000205,TRUE
PL000206,TRUE
PL000207,FALSE
PL000208,TRUE
PL000209,TRUE
PL000210,TRUE
PL000215,TRUE
PL000218,FALSE
PL000220,TRUE
PL000227,TRUE
PL000228,TRUE
PL000232,TRUE
PL000234,FALSE
PL000235,FALSE
PL000236,TRUE
PL000237,TRUE
PL000240,FALSE
PL000244,TRUE
PL000247,TRUE
PL000249,TRUE
PL000253,TRUE
PL000256,TRUE
